,,,,, شاخص‌های همکاری ,,,,, شاخص‌های رقابت,,,,,,,,,
,نام برند,حوزه کلیدی فعالیت,توضیح,توضیح نقش ها,مشتری سرویس های یکدیگر,مکمل بودن در زنجیره ارزش,هم‌راستایی اهداف استراتژیک,دسترسی به منابع یا داده‌های مشترک,تجربه همکاری موفق قبلی,هم‌پوشانی بازار هدف,شباهت در خدمات اصلی,تهدید جایگزینی,سرمایه گذاری بر روی پروژه رقیب,خطر ورود به رقابت بالقوه,میانگین همکاری,میانگین رقابت,نقش اولیه,نقش ثانویه,مشاوره پیشنهادی
,,,,,,,,,,,,,,,,,,,
,تپسی,تاکسی اینترنتی ,حمل و نقل شهری ,,5,8,7,7,3,6,7,8,5,7,6,6.6,#NAME?,#NAME?,
,تارا,فینتک,,,,,,,,,,,,,,,#NAME?,#NAME?,
,زپ,ناوگان موتوری,حمل و نقل کالاها,,5,8,7,8,3,7,6,8,6,8,6.2,7,#NAME?,#NAME?,
,شب,گردشگری و رزرو اقامتگاه,"یک پلتفرم آنلاین برای اجاره اقامتگاه(ویلا، سوئیت، اقامتگاه بومگردی و سوئیت)",,2,6,5,4,1,2,1,8,3,1,3.6,3,#NAME?,#NAME?,
,اکالا,سوپر مارکت انلاین ,سوپرمارکت اینترنتی وابسته به افق کوروش برای فروش انلاین محصولات مصرفی با ارسال سریع و اعمال تخفیف,,6,9,7,7,4,5,5,10,8,4,6.6,6.4,#NAME?,#NAME?,
,افق کوروش,فروشگاه زنجیره ای,ارائه محصولات تند گردش از طریق خرده فروشی خواروبار,,4,10,6,4,4,4,2,10,7,1,5.6,4.8,#NAME?,#NAME?,
علی بابا,علی بابا,گردشگری و خدمات سفر آنلاین ,"پلتفرم جامع آنلاین بلیط هواپیما، قطار، اتوبوس، تور، هتل و اقامتگاه و ارائه دهنده خدمات مختلف سفر ",,2,6,4,4,1,2,1,7,7,1,3.4,3.6,#NAME?,#NAME?,
,علی بابا پلاس,محتوای گردشگری و اشتراک تجربه سفر, پلتفرم آنلاین برای به اشتراک گذاری تجربیات و نظرات افراد متفاوت از سفر,,1,2,1,1,1,1,1,7,1,1,1.2,2.2,#NAME?,#NAME?,
انتخاب,دانشگاه انتخاب,آموزش ,"موسسه اموزش عالی با مجوز وزارت علوم با محوریت رشته های فنی، مهندسی و مدیریتی ",به عنوان مثال: برگزاری دوره های مشترک آموزشی!,1,2,8,7,1,3,1,10,4,1,3.8,3.8,#NAME?,#NAME?,
,مکسا,مسئولیت اجتماعی(سلامت),"مرکز خیریه با هدف پیشگیری، غربالگری و درمان بیماران مبتلا به سرطان، ارائه دهنده خدمات حمایتی و درمانی",,2,1,1,1,1,1,1,7,1,1,1.2,2.2,#NAME?,#NAME?,
,دکاپست,اپراتور پستی,,,2,1,8,8,3,7,8,10,8,10,4.4,8.6,#NAME?,#NAME?,
,صنایع پتروشیمی,انرژی ,سرمایه گذاری در پروژه های پتروشیمی با هدف تکمیل زنجیره ارزش و توسعه صنعتی کشور ,,7,7,5,5,4,3,1,10,5,2,5.6,4.2,#NAME?,#NAME?,
,اسنوا ونچرز,سرمایه‌گذاری,,,2,7,9,7,2,3,1,10,10,5,5.4,5.8,#NAME?,#NAME?,
,"محصولات (اسنوا، ...)",لوازم خانگی ,تولیدکننده انواع لوازم خانگی ,,8,8,5,5,3,5,3,10,6,6,5.8,6,#NAME?,#NAME?,
,انتخاب من,خرده فروشی لوازم خانگی ,"فروش لوازم خانگی های وابسته به همین گروه( دوو، اسنوا و تکنوگاز) به صورت آنلاین و حضوری",,8,8,5,5,3,5,3,10,6,6,5.8,6,#NAME?,#NAME?,
ماموت,؟,تولید وسایل حمل و نقل و لجستیک,تولید کننده تریلر و اتاق ایزوله و اتاق ایزوله برای حمل و نقل جاده ای و ارائه خدمات پس از فروش ,به طور کلی هلدینگ ماموت بررسی گردیده است,8,6,8,6,5,4,4,7,8,10,6.6,6.6,#NAME?,#NAME?,
آواکتان,دومیل,فناوری اطلاعات و تحول در خرده فروشی ,"این سرویس در زمینه مانیتورینگ و گزارش گیری، شبکه و زیرساخت، افزایش نرخ تبدیل و کمک به برندسازی در  صنایع خرده فروشی است",,1,3,3,3,1,6,1,7,7,3,2.2,4.8,#NAME?,#NAME?,
,بالکافه,کافه و رستوران,کافه و رستوران با منوی تخصصی قهوه,,3,7,5,3,3,4,1,7,2,1,4.2,3,#NAME?,#NAME?,
,متا فیتنس,باشگاه ورزشی,باشگاه ورزشی شامل ورزش های مختلف واقع در محل الهیه تهران مجتمع سام سنتر,,1,3,5,2,1,1,1,7,1,1,2.4,2.2,#NAME?,#NAME?,
,اینشو,بیمه ,پلتفرم بیمه انلاین برای افراد و سازمان ها,,1,8,8,7,1,1,3,7,2,1,5,2.8,#NAME?,#NAME?,
,دلیش,کترینگ سازمانی,ارائه دهنده خدمات کترینگ برای سازمان ها,,10,9,8,4,4,5,1,7,3,4,7,4,#NAME?,#NAME?,
,جین وست,فروشگاه پوشاک,ارائه دهنده پوشاک اسپرت و کژوال ,,10,10,8,4,4,3,1,8,6,2,7.2,4,#NAME?,#NAME?,
,دیجی واش,خشکشویی آنلاین ,پلتفرم آنلاین خشکشویی آنلاین ,,10,10,5,5,4,3,1,10,5,1,6.8,4,#NAME?,#NAME?,
,بانی مد,فروشگاه آنلاین پوشاک,فروشگاه آنلاین پوشاک ایرانی و خارجی,,10,9,8,5,8,5,1,8,7,7,8,5.6,#NAME?,#NAME?,
زرین پال,,فینتک ,"ارائه دهنده درگاه اینترنتی، خدمات پرداخت اینترنتی، کیف پول الکترونیکی، تسهیم وجه و پرداخت های نویی برای کسب و کارهای انلاین و افلاین",از طریق همکاری های چندجانبه اکوسیستمی!,1,8,5,8,1,5,1,7,3,1,4.6,3.4,#NAME?,#NAME?,
هزاردستان,فانوس (برای ارتباط فرداست),فینتک ,اپلیکیشن مدیریت مالی و حسابداری شخصی به همراه ارائه پیشنهادهای اقتصادی,,1,4,3,2,1,5,1,7,2,1,2.2,3.2,#NAME?,#NAME?,
,پیشگامان,,,,1,1,1,1,1,1,1,1,1,1,1,1,#NAME?,#NAME?,
,ستون,زیرساخت و رایانش ابری,"ارائه دهنده خدمات زیرساختی، رایانش ابری و هوش مصنوعی به کسب‌وکارها",,1,4,1,5,1,4,1,7,2,1,2.4,3,#NAME?,#NAME?,
,جوانه,سرمایه گذاری ,پلتفرم سرمایه گذاری گروه هزاردستان که ریسک بالایی دارد و اولویت سرمایه گذاری در استارت اپ ها و کسب و کارهای انلاین را دارد ,,3,8,8,5,2,2,1,7,8,5,5.2,4.6,#NAME?,#NAME?,
,قرار,ارتباطات آنلاین,ارائه سرویس یکپارچه ارتباط آنلاین مانند جلسات و نشست های مجازی برای اشخاص و شرکتها,,1,1,1,1,1,3,1,7,1,1,1,2.6,#NAME?,#NAME?,
,کارنامه,خدمات خودرو,پلتفرم خرید و فروش خودرو و ارائه دهنده انواع خدمات مربوط به خرید و فروش خودرو از جمله کارشناسی خودرو و فروش سفارشی خودرو و خرید اقساطی,,4,4,4,4,2,5,1,7,3,1,3.6,3.4,#NAME?,#NAME?,
,دیوار,پلتفرم آگهی آنلاین ,"پلتفرم درج آگهی آنلاین برای خرید و فروش، اجاره املاک، خودرو، کالاهای دست دوم و نو و حتی استخدام",,7,9,8,7,2,5,1,7,7,3,6.6,4.6,#NAME?,#NAME?,
صبانت,تامین کننده اینترنت,ارتباطات و فناوری اطلاعات,"ارائه هرگونه خدمات مخابراتی، ارتباطی و انتقال داده‌ها از قبیل دسترسی به شبکه ملی اطلاعات، اینترنت پرسرعت، خدمات شبکه‌های اختصاصی و ...",,3,6,2,5,1,4,1,7,2,1,3.4,3,#NAME?,#NAME?,
تپسل,ابزارهای مارکتینگ,تبلیغات دیجیتال,ارائه راهکارهای جامع و هوشمند در زمینه تبلیغات دیجیتال,,1,3,3,2,1,4,1,7,2,1,2,3,#NAME?,#NAME?,
,آکادمی تپسل (کالج تپسل),آموزش,ارائه دوره های ضبط شده کوتاه و وبلاگ متنی در زمینه دیجیتال مارکتینگ (بیشتر برای سئو سایت),تولید محتوا در رابطه با نقش لجستیک در سودآوری کسب و کارهای آنلاین کوچک,1,3,9,6,1,2,1,7,2,1,4,2.6,#NAME?,#NAME?,
یکتانت,تریبون,تبلیغات دیجیتال,ارائه کمپین های رپورتاژ آگهی و درج بک لینک در رسانه های داخلی و خارجی,,1,3,3,2,1,4,1,7,2,1,2,3,#NAME?,#NAME?,
,جریان,تبلیغات دیجیتال,"ارائه کمپین تبلیغاتی در اینستاگرام، تلگرام، لینکدین و روبیکا",,1,3,3,2,1,4,1,7,2,1,2,3,#NAME?,#NAME?,
,ادیوری,تبلیغات دیجیتال,"پلتفرم تبلیغات درون اپلیکشن و بازی موبایل است که  تبلیغات بنری، همسان و ویدئویی ارائه میدهد که هم صاحبان اپلیکیشن میتوانند درامدزای داشته باشند و هم سایرین تبلیغ سفارش دهند.",,1,3,3,2,1,4,1,7,2,1,2,3,#NAME?,#NAME?,
,نجوا,تبلیغات دیجیتال,"ارائه سرویس ارسال اعلان (Push Notification)، سرویس ایمیل مارکتینگ و سرویس اس‌ام‌اس مارکتینگ (ریتنشن مارکتینگ) ",,1,3,3,2,1,4,1,7,2,1,2,3,#NAME?,#NAME?,
,آکادمی یکتانت,آموزش,ارائه دوره های ضبط شده کوتاه و رایگان در زمینه دیجیتال مارکتینگ ,تولید محتوا در رابطه با نقش لجستیک در سودآوری کسب و کارهای آنلاین کوچک,1,3,6,6,1,2,1,7,2,1,3.4,2.6,#NAME?,#NAME?,
تکنوتجارت,financial inbox,سرمایه گذاری خطرپذیر,"رائه حمایت‌های مالی، مشاوره بازاریابی، منابع انسانی و حمایت از توسعه زیرساخت‌های اثر‌گذار در ایجاد کسب‌و‌کارهای نوپا",,3,10,10,6,1,2,1,7,10,8,6,5.6,#NAME?,#NAME?,
,پی بار,فینتک - لجستیک,"ارائه خدمات در راستای مدیریت فرایند حمل و نقل جاده ای از جمله دیجیتال سازی بارنامه، استفاده از خدمات بانکی تحت پلتفرم، سیستم گزارش گیری و ...",,7,10,8,8,2,3,5,8,7,7,7,6,#NAME?,#NAME?,
,آیان,فینتک - فناوری اطلاعات,"ارائه خدمات مدیریت، استعلام و پرداخت قبوض (قبضینو) و همینطور خدمات شهروندی یک دفتر پیشخوان آنلاین مانند استعلام سهام عدالت، یارانه نقدی، خرید شارژ و بسته اینترنت و ... (پیشخوان24)",,1,2,2,3,1,2,1,7,2,1,1.8,2.6,#NAME?,#NAME?,
,بیدُک,تجارت الکترونیک,فروشگاه‌ساز با ویژگی Omni-channel که اطلاعات موجود در تمامی کانال‌های فروش محصول را یکپارچه می‌کند و با سیستم‌های حسابداری اصناف به‌صورت آنلاین در ارتباط است.,اتصال وبسایت های ساخته شده به API سرویس های هلدینگ,9,10,9,5,1,4,2,8,5,3,6.8,4.4,#NAME?,#NAME?,
,باروک,فینتک,پلتفرم مدیریت تامین مالی کسب و کارها از طریق اتصال مشتریان ورودی حقیقی و حقوقی پلتفرم به یکدیگر ,,3,5,6,3,1,4,1,7,2,1,3.6,3,#NAME?,#NAME?,
,لامینگو,خدمات حقوقی,پلتفرم ارائۀ خدمات حقوقی از جمله تنظیم آنلاین قرارداد و اسناد حقوقی و ارائه خدمات مشاوره ای,,2,8,4,3,1,4,1,7,1,1,3.6,2.8,#NAME?,#NAME?,
,جاده,لجستیک,"پل ارتباطی بین راننده (ماشین های سنگین)، باربری و صاحب کالا و مدیریت و اتوماسیون سازی فرایندهای حمل",,6,8,7,7,2,5,5,10,7,7,6,6.8,#NAME?,#NAME?,
,ققنوس,فینتک (بلاک چین),ارائه خدمات و محصولات مبتنی بر زنجیره بلوک (بلاکچین) و توکنیزه کردن دارایی میزبان های این شبکه,ارائه قراردادهای هوشمند بر بستر بلاکچین,7,8,9,8,1,4,3,10,7,4,6.6,5.6,#NAME?,#NAME?,
,آوای اطمینان,بازارهای مالی,ارائه راهکارهای آنلاین معاملات در بورس کالا و انرژی​​​​​​​​​​​​​​,,1,1,1,2,1,1,1,7,3,1,1.2,2.6,#NAME?,#NAME?,
آپ و تاپ,,فینتک,ارائه خدمات در زمینه پرداخت‌های الكترونیک و پایانه های فروش ,ارائه سرویس های اشتراک لجستیک بر پایه کیف پول,5,7,7,7,3,3,2,9,7,3,5.8,4.8,#NAME?,#NAME?,
مکس,مکس امید,سرمایه گذاری خصوصی,سرمایه گذاری و ارائه حمایت های تخصصی در حوزه های مختلف کسب و کار برای شرکت های در حال توسعه,,3,10,10,6,1,2,1,7,10,8,6,5.6,#NAME?,#NAME?,
,بیت مکس,فینتک,پلتفرم خرید و فروش و نگهداری ارزهای دیجیتال,,2,2,2,2,1,2,1,7,2,1,1.8,2.6,#NAME?,#NAME?,
,آدیلار,خدمات استخدام,ارائه خدمات آنلاین جذب و استخدام برای شرکت ها ,,7,2,1,3,1,1,1,1,1,1,2.8,1,#NAME?,#NAME?,
,جی مکس,سرگرمی,"طراحی، ساخت و بهره برداری از پارک ها و وسایل سرگرمی هیجان انگیز ( مانند بانجی جامپینگ)",,3,2,2,1,1,2,1,3,1,1,1.8,1.6,#NAME?,#NAME?,
,بارولاین,لجستیک,"اعلام بار سراسری به رانندگان، صدور بارنامه هوشمند و ...",,6,7,5,6,2,3,3,7,5,5,5.2,4.6,#NAME?,#NAME?,
,چاپ آقا,چاپ و طراحی آنلاین,"سفارش گذاری آنلاین طراحی و چاپ محصولات تبلیغاتی، بسته بندی و ...",,7,7,4,2,1,3,1,7,1,1,4.2,2.6,#NAME?,#NAME?,
,شیمی دانان ویرا,خدماتی-بازرگانی در حوزه آزمایشگاه‌های غیرطبی," ارائه خدمات فنی تخصصی (مشاوره، آموزش و آزمون مهارت) به آزمایشگاهها و تامین کننده مواد و کیت های مورد نیاز آزمایشگاه ها",,5,7,9,4,1,4,1,7,7,1,5.2,4,#NAME?,#NAME?,
,ورانِگر,لجستیک - نرم‌افزارهای مدیریت پخش و توزیع,ارائه راهکارهای جامع برای شرکت های پخش,,7,7,8,7,1,4,3,7,8,7,6,5.8,#NAME?,#NAME?,
,ویراماینر,خدمات حوزه بلاکچین و رمز ارزها,"طراحی، راه‌اندازی و نگهداری مزارع استخراج ارز دیجیتال و ارائه خدمات مرتبط مانند تعمیر و هاستینگ دستگاه‌های ماینر",,3,1,1,2,1,2,1,7,1,1,1.6,2.4,#NAME?,#NAME?,
,بتا سیستم,نرم افزارهای حوزه فناوری اطلاعات,"مشاوره، پیاده‌سازی و پشتیبانی نرم‌افزارهای ERP مانند SAP Business One و ارائه راهکارهایی برای بهینه‌سازی فرآیندهای سازمانی ",,1,2,2,1,1,2,1,7,1,1,1.4,2.4,#NAME?,#NAME?,
,جیروکو,,,,1,1,1,1,1,1,1,1,1,1,1,1,#NAME?,#NAME?,
,مکس دنتال (مکس کلینیکس),دندان پزشکی,"کلینیک های زنجیره ای دندان پزشکی با ارائه خدماتی چون نوبت‌دهی آنلاین، دسترسی ۲۴ ساعته به پرونده‌ها، تسهیلات مالی و ...",,3,2,2,1,1,3,1,7,1,1,1.8,2.6,#NAME?,#NAME?,
,ازکی,فناوری بیمه (اینشورتک),پلتفرم آنلاین مقایسه و خرید بیمه,,5,4,3,1,1,2,1,7,5,3,2.8,3.6,#NAME?,#NAME?,
,پلاک,اپلیکیشن ارائه خدمات خانگی,"ارائه خدمات در محل مانند نظافت منزل، کارواش سیار، اسباب کشی و ...",Silver Economy,8,1,10,10,1,9,9,10,10,10,6,9.6,#NAME?,#NAME?,
,خودرو 45,خرید و فروش خودرو,پلتفرم فروش آنی خودرو با ارائه کارشناسی,,3,2,4,1,1,1,1,7,1,1,2.2,2.2,#NAME?,#NAME?,
,اتوبان,خرید و فروش خودرو سنگین,"خرید، فروش، کارشناسی و تسهیلات خودرو سنگین",تامین ناوگان,7,7,3,5,1,1,2,7,3,3,4.6,3.2,#NAME?,#NAME?,
,یوتوپین,فناوری گردشگری (تراول تک)," پلتفرم آنلاین گردشگری با خدمات رزرو آنلاین تور، راهنمای سفر و ...",,5,5,6,3,1,2,1,7,2,1,4,2.6,#NAME?,#NAME?,
,wish work,پلتفرم فریلنسینگ و برونسپاری پروژه,"پلتفرم برونسپاری پروژه ها در حوزه های مختلف مانند برنامه نویسی، طراحی، تولید محتوا و ...",,2,1,2,1,1,1,1,7,1,1,1.4,2.2,#NAME?,#NAME?,
لیان,man,,,,1,1,1,1,1,1,1,1,1,1,1,1,#NAME?,#NAME?,
,آدریان,,,,1,1,1,1,1,1,1,1,1,1,1,1,#NAME?,#NAME?,
,homeka,,ارائه خدمات آزمایشگاهی در منزل,Silver Economy,7,7,7,7,1,5,5,8,5,5,5.8,5.6,#NAME?,#NAME?,
,هیلیا,,,,1,1,1,1,1,1,1,1,1,1,1,1,#NAME?,#NAME?,
,نیچرز پلنتی,مکمل های سلامت,"تولید و واردات دارو، مکمل های غذایی و محصولات آرایشی و بهداشتی",,3,6,4,3,1,2,1,7,5,2,3.4,3.4,#NAME?,#NAME?,
,مهر گیاه,دمنوش های گیاهی,تولید دمنوش های گیاهی در بسته بندی های کیسه ای,,4,7,5,4,1,3,1,7,3,1,4.2,3,#NAME?,#NAME?,
,شیرین مهرآرا,محصولات غذایی سالم و نوآورانه,"تولید محصولات غذایی مانند غلات صبحانه، چیپس میوه خشک و ...",,4,7,5,4,1,3,1,7,3,1,4.2,3,#NAME?,#NAME?,
,دکتر دکتر,فناوری سلامت,"سامانه نوبت‌دهی و ارائه خدمات پزشکی آنلاین مانند مشاوره تلفنی، خرید دارو و ...",,5,9,9,7,1,5,5,7,6,7,6.2,6,#NAME?,#NAME?,
,دکتر ساینا,فناوری سلامت,"پلتفرم ارائه خدمات مشاوره پزشکی آنلاین، آزمایش در محل، تست روانشناسی و ...",Silver Economy,5,9,9,7,1,5,5,7,6,7,6.2,6,#NAME?,#NAME?,
ارتباط فردا,قسطا,فینتک,پلتفرم ارائه دهنده وام های فوری و بدون ضامن و امکان خرید اقساطی از فروشگاههای طرف قرارداد,,5,7,4,2,1,4,2,7,5,4,3.8,4.4,#NAME?,#NAME?,
